id;full-name;html-url;stars;forks;owner-name;owner-type;created-at;last-commit;last-commit-date;domain-files;type;n-intents;intents;n-entities;entities;n-actions;actions;n-actions-custom;actions-custom;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version;config-languages;training-language;response-languages;languages;pure-english;n-actions-files;n-readme-files;readme-files;actions-files
1337DS/Covid-Chatbot__rasa_chatbot_v2;1337DS/Covid-Chatbot;https://github.com/1337DS/Covid-Chatbot;1;0;1337DS;User;2021-11-30T15:34:07Z;54b4ba388c78d6d72a2d6888813a3309e478345a;2022-01-19T16:09:12Z;['rasa_chatbot_v2/domain.yml'];mfsd;14;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'test_incidence', 'test_deaths', 'corona_symptoms', 'verify_corona_symptoms', 'test_specific_landkreise_incidence', 'incidence_all_plot', 'test_landkreise_incidence'];2;['number', 'landkreis_api'];7;['give_test_incidence', 'give_deaths', 'give_corona_symptoms', 'give_verify_corona_symptoms', 'give_n_landkreis_incidence', 'give_incidence_all_plot', 'give_landkreise_incidence'];7;['give_test_incidence', 'give_deaths', 'give_corona_symptoms', 'give_verify_corona_symptoms', 'give_n_landkreis_incidence', 'give_incidence_all_plot', 'give_landkreise_incidence'];0;[];0;0;[];0;[];3.0;['en'];['en'];['en'];['en'];True;1;1;['README.md'];['rasa_chatbot_v2/actions/actions.py']
2nour/PI-Rasa-chatbot;2nour/PI-Rasa-chatbot;https://github.com/2nour/PI-Rasa-chatbot;8;4;2nour;User;2022-03-15T23:11:36Z;c6d3e6557ec41af92e67b48c41182df0f3e02a69;2022-06-27T10:59:03Z;['domain.yml'];sfsd;68;['possible_credit', 'get_salary', 'get_duration5', 'get_duration7', 'get_duration10', 'get_duration15', 'get_duration20', 'create_new_id', 'identity', 'greet', 'goodbye', 'affirm', 'deny', 'ask_for_help', 'check_human', 'consult_human', 'thanking', 'check_balance', 'transfer_money', 'previous_transactions_and_earnings', 'check_bank_offers_and_services', 'check_type_of_accounts', 'create_new_account', 'pay_cc', 'delete_account', 'mood_great', 'mood_unhappy', 'bot_challenge', 'Name', 'email', 'birthdate', 'number', 'address', 'login', 'savings_account_ty', 'current_account_ty', 'salary_account_ty', 'choose_account', 'get_credit', 'personal_credit', 'car_credit', 'real_estate_credit', 'desired_amount', 'last_five_trans', 'all_trans', 'complaint_request', 'complaint_typee', 'submit_problem', 'submit_rib', 'check_complaint_status', 'track_location', 'nearest_agency_position', 'reciever_rib', 'amount_sent', 'convert_currency', 'extrait_bnk', 'check_agencies', 'how_create_account', 'request_cheque', 'why_your_bank', 'tunisian', 'resident', 'cheque_request_status', 'cheque_request_number', 'last_Name', 'submit_n', 'sign_in', 'log_me_out'];27;['Person', 'account', 'account_type', 'addresse', 'balancee', 'birth_date', 'choose_account', 'credit', 'duration', 'first_name', 'mail', 'phone_number', 'salaryy', 'transactions', 'amount-of-money', 'credit_type', 'transactions_type', 'complaint_type', 'rib', 'problem', 'track_status', 'currency_dep', 'currency_arriv', 'residency', 'request_num', 'last_name', 'sub_type'];42;['action_account_type', 'action_ask_why', 'action_check_earnings', 'action_create_account', 'action_create_id', 'action_delete', 'action_pay_cc', 'action_possible_credit', 'action_show_balance', 'action_sign_in', 'action_transfer_money', 'action_personal_credit_duration', 'action_car_credit_duration', 'action_real_estate_credit_duration', 'action_credit_type', 'action_create_credit', 'action_create_complaint', 'action_complaint_type', 'action_check_complaint_status', 'action_transactions_type', 'action_show_agencies', 'action_use_location', 'action_nearest_agency', 'action_currency_calculator', 'action_validate_creation', 'action_take_pic', 'action_tunisian_resident', 'action_cheque_request_status', 'action_cheque_request', 'action_create_account1', 'action_create_complaint_without_signin', 'action_verif_rib_name', 'action_logout', 'action_logout_verif', 'action_check_mandat_state', 'action_send_mandat', 'action_check_all_earnings', 'action_activate_cc', 'action_extrait_bnk', 'action_check_balance_null', 'action_rhan', 'action_rouge'];30;['action_account_type', 'action_ask_why', 'action_check_earnings', 'action_create_account', 'action_delete', 'action_possible_credit', 'action_show_balance', 'action_sign_in', 'action_transfer_money', 'action_personal_credit_duration', 'action_car_credit_duration', 'action_real_estate_credit_duration', 'action_credit_type', 'action_create_credit', 'action_create_complaint', 'action_complaint_type', 'action_check_complaint_status', 'action_transactions_type', 'action_show_agencies', 'action_use_location', 'action_nearest_agency', 'action_currency_calculator', 'action_tunisian_resident', 'action_cheque_request_status', 'action_cheque_request', 'action_create_account1', 'action_verif_rib_name', 'action_logout', 'action_logout_verif', 'action_extrait_bnk'];21;['salary', 'duration', 'first_name', 'email', 'birthdate', 'number', 'address', 'account_type', 'credit_type', 'transactions_type', 'rib', 'problem', 'complaint_type', 'track_status', 'amount-of-money', 'currency_dep', 'currency_arriv', 'residency', 'request_num', 'last_name', 'sub_type'];21;0;['any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any'];0;[];3.0;['en'];['en', 'tn', 'fr'];['en'];['en', 'tn', 'fr'];False;1;1;['README.md'];['actions/actions.py']
AI-Medical-Robotics/Breast-Cancer-Segmentation;AI-Medical-Robotics/Breast-Cancer-Segmentation;https://github.com/AI-Medical-Robotics/Breast-Cancer-Segmentation;2;0;AI-Medical-Robotics;Organization;2022-08-27T21:57:13Z;37f2289fa203be0837a7c53312646ced6827064f;2022-11-29T07:20:31Z;['diagnosis_va/domain.yml'];sfsd;11;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'greet_radiologist', 'req_patient_breast_clf_report', 'req_patient_breast_seg_report', 'req_breast_seg_training'];0;[];4;['action_run_lesion_classification', 'action_run_lesion_vol_rendering', 'action_train_lesion_segmentation', 'action_run_lesion_segmentation'];4;['action_run_lesion_classification', 'action_run_lesion_vol_rendering', 'action_train_lesion_segmentation', 'action_run_lesion_segmentation'];4;['patient_clf_id', 'patient_seg_id', 'model_seg_name', 'model_seg_name_deploy'];0;4;['text', 'text', 'text', 'text'];4;['patient_report_clf_form', 'patient_report_seg_form', 'breast_seg_model_form', 'breast_seg_model_deploy_form'];3.1;['en'];['en'];['en'];['en'];True;4;2;['NeuralNetDiagrams/README.md', 'README.md'];['diagnosis_va/actions/prepare/prepare_data.py', 'diagnosis_va/actions/actions.py', 'diagnosis_va/actions/classification.py', 'diagnosis_va/actions/utils/utils.py']
AIDANXhang/CMPE_252_project_AidBot;AIDANXhang/CMPE_252_project_AidBot;https://github.com/AIDANXhang/CMPE_252_project_AidBot;1;0;AIDANXhang;User;2022-12-09T21:56:58Z;893ad48f092626066e7e354bed6dd82d264f3050;2023-04-23T03:04:43Z;['domain.yml'];sfsd;15;['greet', 'giving_category_place', 'ask_purpose', 'ouot_of_scope', 'mood_unhappy', 'deny', 'mood_great', 'affirm', 'thanks', 'goodbye', 'bot_challenge', 'giving_radius', 'giving_address', 'emergency_ambulance', 'emergency_police'];4;['address', 'category_place', 'radius', 'emergency_type'];15;['utter_greet', 'utter_welcome', 'utter_purpose', 'utter_happy', 'utter_cheer_up', 'utter_out_of_scope', 'utter_goodbye', 'action_reset_address', 'begin_search_action', 'check_form_search_places', 'search_for_medical_care_action', 'utter_ask_category_place', 'action_validate_slot_mappings', 'utter_action_help_ambulance', 'utter_action_help_police'];3;['begin_search_action', 'check_form_search_places', 'search_for_medical_care_action'];5;['category_place', 'address', 'lat_lon', 'radius', 'emergency_type'];4;0;['categorical', 'list', 'text', 'text', 'categorical'];1;['place_search_form'];3.1;['en'];['en'];['en'];['en'];True;2;1;['README.md'];['actions/db.py', 'actions/actions.py']
Aazim-parwaz/Rasa-Covid-ChatBot;Aazim-parwaz/Rasa-Covid-ChatBot;https://github.com/Aazim-parwaz/Rasa-Covid-ChatBot;2;0;Aazim-parwaz;User;2021-11-25T07:37:46Z;9c6d014897a8c668bbf6a68ae056461b8a850af7;2023-01-03T21:31:26Z;['domain.yml'];sfsd;23;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'corona_intro', 'corona_spread', 'corona_food_spread', 'corona_spread_warm', 'corona_spread_risk', 'corona_states_stat', 'name_entry', 'location_entry', 'corona_stats_check', 'corona_community', 'corona_mosq_spread', 'corona_prevent', 'corona_symptoms', 'corona_vaccine', 'corona_infected person', 'Thanks'];2;['name', 'state'];4;['actions_corona_state_stat', 'actions_name_show', 'action_hello_world_action_test', 'action_get_loc'];2;['actions_corona_state_stat', 'action_get_loc'];2;['name', 'state'];2;0;['text', 'text'];0;[];3.1;['en'];['en'];['en'];['en'];True;1;1;['README.md'];['actions/actions.py']
AbdelrahmanMohamed54/RASA-Assistant-System;AbdelrahmanMohamed54/RASA-Assistant-System;https://github.com/AbdelrahmanMohamed54/RASA-Assistant-System;2;0;AbdelrahmanMohamed54;User;2024-02-23T11:22:56Z;a25c7ba6d4a24ea509bb663998420d559b4a0da6;2024-02-24T11:52:35Z;['domain.yml'];sfsd;15;['greet', 'goodbye', 'choose_study_programs', 'inquire_international_exchange_programs', 'inquire_ixp_language_skills', 'inquire_ixp_How_to_apply', 'inquire_bachelor_programs', 'inquire_master_programs', 'choose_bachelor_faculty', 'inquire_bachelor_program_name_and_info', 'inquire_master_program_name_and_info', 'choose_master_faculty', 'inquire_another_bachelor_program_loop', 'inquire_another_master_program_loop', 'completely_change_study_program_type'];6;['bachelor_faculty', 'bachelor_program_name', 'bachelor_info', 'master_faculty', 'master_program_name', 'master_info'];9;['action_get_program_info', 'action_get_language_skills', 'action_get_How_To_Apply', 'action_list_bachelor_faculties', 'action_list_programs_under_bachelor_faculty', 'action_provide_program_details', 'action_list_master_faculties', 'action_list_programs_under_master_faculty', 'action_provide_master_program_details'];9;['action_get_program_info', 'action_get_language_skills', 'action_get_How_To_Apply', 'action_list_bachelor_faculties', 'action_list_programs_under_bachelor_faculty', 'action_provide_program_details', 'action_list_master_faculties', 'action_list_programs_under_master_faculty', 'action_provide_master_program_details'];6;['bachelor_info', 'bachelor_program_name', 'bachelor_faculty', 'master_info', 'master_program_name', 'master_faculty'];6;0;['text', 'text', 'text', 'text', 'text', 'text'];0;[];3.1;['en'];['en'];['en'];['en'];True;2;2;['README.md', 'Wiki/README.md'];['actions/actions.py', 'actions/app.py']
Abishek-Suresh/Chatbot-Developer-Internship-Project;Abishek-Suresh/Chatbot-Developer-Internship-Project;https://github.com/Abishek-Suresh/Chatbot-Developer-Internship-Project;2;1;Abishek-Suresh;User;2022-05-26T06:40:53Z;42429b7186f1561132cfd6b8137794feedcbe1e8;2023-10-24T17:31:20Z;['Internship_project/backend/domain.yml'];sfsd;23;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'hotel_booking', 'stop', 'faq_check_in_time', 'faq_check_out_time', 'faq_cancel_policy', 'faq_cancel_reservation', 'faq_reception_time', 'faq_parking', 'faq_swimming_pool', 'faq_wifi', 'rooms', 'faq_contact_number', 'thankyou', 'email_eg', 'phone_num', 'airport'];3;['email', 'phone_number', 'phone-number'];30;['utter_greet', 'utter_cheer_up', 'utter_did_that_help', 'utter_happy', 'utter_goodbye', 'utter_iamabot', 'utter_ask_name', 'utter_ask_email', 'utter_ask_phone_number', 'utter_ask_adults', 'utter_ask_children', 'utter_ask_room_type', 'utter_ask_room_num', 'utter_ask_check_in', 'utter_ask_check_out', 'utter_continue', 'utter_thank_time', 'action_submit', 'utter_check_in_faq', 'utter_check_out_faq', 'utter_cancel_policy', 'utter_cancel_reservation', 'utter_swimming_pool', 'utter_wifi_faq', 'utter_rooms_faq', 'utter_contact_no', 'utter_parking', 'utter_reception_time', 'validate_book_room_form', 'utter_airport'];2;['action_submit', 'validate_book_room_form'];9;['name', 'email', 'phone_number', 'adults', 'children', 'room_type', 'room_num', 'check_in', 'check_out'];2;7;['text', 'text', 'text', 'float', 'text', 'text', 'text', 'text', 'text'];1;['book_room_form'];3.0;['en'];['en'];['en'];['en'];True;1;1;['README.md'];['Internship_project/actions/actions.py']
AdithyaPadmashali/buzz_women_chatbot_rasa;AdithyaPadmashali/buzz_women_chatbot_rasa;https://github.com/AdithyaPadmashali/buzz_women_chatbot_rasa;3;5;AdithyaPadmashali;User;2022-06-09T06:06:00Z;9b669fccb7e99e62c017846dc93ddf17fe2c74b8;2022-06-14T06:27:05Z;['domain.yml'];sfsd;22;['greet', 'goodbye', 'affirm', 'deny', 'bot_challenge', 'request_for_idea', 'request_for_idea_details', 'tell_idea', 'tell_skills', 'inquire_bot_abilities', 'affirm_proceed_with_idea', 'deny_proceed_with_idea', 'tell_competitors_positive', 'tell_competitors_negative', 'tell_customers_positive', 'tell_customers_negative', 'choose_skill_basis', 'choose_investment_basis', 'choose_all_basis', 'tell_investment_high', 'tell_investment_low', 'tell_investment_med'];1;['idea'];4;['action_show_ideas', 'action_take_idea_forward', 'action_tell_investment_returns', 'action_summarize'];4;['action_show_ideas', 'action_take_idea_forward', 'action_tell_investment_returns', 'action_summarize'];4;['idea', 'has_customers', 'has_competitors', 'investment_level'];3;0;['list', 'bool', 'bool', 'text'];0;[];3.1;['en'];['en'];['en'];['en'];True;1;1;['README.md'];['actions/actions.py']
Aditi1203-lab/SIH_CHATBOT;Aditi1203-lab/SIH_CHATBOT;https://github.com/Aditi1203-lab/SIH_CHATBOT;3;0;Aditi1203-lab;User;2022-12-13T13:45:30Z;7066176892fcdbe326990def83c33e88be662faf;2022-12-13T13:59:52Z;['domain.yml'];sfsd;46;['contact_us', 'affiliated_colleges', 'college_maharashtra', 'college_new_delhi', 'college_tamil_nadu', 'IIITN', 'inquire_general_scholarship_2', 'greet', 'goodbye', 'affirm', 'deny', 'general_ans_yes', 'questions_faculty_add', 'about_bot', 'pan_card', 'about_scholarship', 'inquire_general_scholarship', 'inquire_PG_scholarship', 'duration_pg_scholarship', 'eligibility_pg_scholarship', 'after_date_of_admission', 'sponsored_management_foreign_student', 'part_time_course', 'other_scholarship', 'procedure_for_PG_scholarship', 'documents_for_PG_scholarship', 'data_not_visible_on_PG_scholarship_portal', 'correct_wrong_entries_on_form', 'problem_in_accessing_portal', 'delay_in_PG_receipt', 'condition_for_payment_PG_Scholarship', 'second_time_PG_course', 'change_rate_of_Pg_scholarship', 'leaving_course_in_midway', 'mode_procedure_of_payment', 'method_of_payment_for_PG_scholarship', 'aadhar_for_PG_scholarship', 'requirement_for_payment_through_aadhar', 'check_aadhar_active_status', 'expected_date_of_payment', 'date_of_attendence', 'call_us', 'give_name', 'mobile_number', 'email_id', 'disturb'];3;['name', 'number', 'email'];58;['utter_yes_no', 'utter_starting_button', 'utter_ask_name', 'utter_ask_number', 'utter_ask_email', 'utter_remember', 'action_collect_details', 'utter_about_bot', 'action_carousels', 'utter_data_button', 'utter_part_time_button', 'utter_pan_card', 'utter_greet', 'utter_ans_yes', 'utter_faculty_add', 'utter_ans_bot', 'utter_did_that_help', 'utter_buttons', 'utter_ask_duration_button', 'utter_goodbye', 'utter_inquire_general_scholarship', 'utter_inquire_PG_scholarship', 'utter_duration_pg_scholarship', 'utter_eligibility_pg_scholarship', 'utter_after_date_of_admission', 'utter_sponsored_management_foreign_student', 'utter_part_time_course', 'utter_other_scholarship', 'utter_procedure_for_PG_scholarship', 'utter_documents_for_PG_scholarship', 'utter_data_not_visible_on_PG_scholarship_portal', 'utter_correct_wrong_entries_on_form', 'utter_problem_in_accessing_portal', 'utter_delay_in_PG_receipt', 'utter_condition_for_payment_PG_Scholarship', 'utter_second_time_PG_course', 'utter_change_rate_of_Pg_scholarship', 'utter_leaving_course_in_midway', 'utter_mode_procedure_of_payment', 'utter_method_of_payment_for_PG_scholarship', 'utter_aadhar_for_PG_scholarship', 'utter_requirement_for_payment_through_aadhar', 'utter_check_aadhar_active_status', 'utter_expected_date_of_payment', 'utter_date_of_attendence', 'utter_about_scholarship', 'utter_eli_buttons', 'utter_pro_buttons', 'utter_pro_buttons_ask', 'utter_please_rephrase', 'utter_out_of_scope', 'utter_select_state', 'action_resources_list_maha', 'action_list_delhi', 'action_list_tamil', 'utter_call_no', 'action_store_faq', 'action_live_chat'];5;['action_collect_details', 'action_resources_list_maha', 'action_list_delhi', 'action_list_tamil', 'action_store_faq'];3;['name', 'number', 'email'];3;0;['text', 'text', 'text'];1;['contact_us_form'];3.1;['en'];['en'];['en'];['en'];True;2;1;['README.md'];['actions/utils.py', 'actions/actions.py']
AhmedFahim-git/restaurant_bot;AhmedFahim-git/restaurant_bot;https://github.com/AhmedFahim-git/restaurant_bot;9;1;AhmedFahim-git;User;2022-02-09T11:21:56Z;f2e231fe6201f6b9f0780710e71ea24bd37c91ae;2022-09-24T11:19:05Z;['domain.yml'];sfsd;12;['giving_place_type', 'goodbye', 'thanks', 'giving_radius', 'giving_address', 'out_of_scope', 'ask_purpose', 'greet', 'mood_unhappy', 'mood_great', 'affirm', 'bot_challenge'];3;['address', 'place_type', 'radius'];13;['action_places_search', 'action_reset_address', 'action_beginning_search', 'action_validate_slot_mappings', 'utter_ask_place_type', 'utter_cheer_up', 'utter_goodbye', 'utter_greet', 'utter_happy', 'utter_out_of_scope', 'utter_purpose', 'utter_welcome', 'validate_places_search_form'];3;['action_places_search', 'action_beginning_search', 'validate_places_search_form'];4;['lat_lon', 'address', 'radius', 'place_type'];3;0;['text', 'list', 'text', 'categorical'];1;['place_search_form'];3.0;['en'];['en'];['en'];['en'];True;1;1;['README.md'];['actions/actions.py']
