id;full-name;html-url;stars;forks;last-commit;domain-files;n-actions-files;n-readme-files;n-intents;intents;n-entities;entities;n-actions;actions;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version;type;config-languages;training-language;response-languages;wide-has-english;has-english;pure-english;created-at;owner-name;owner-type;last-commit-date;actions-files
kshitij-narkhede/Binary_Brain;kshitij-narkhede/Binary_Brain;https://github.com/kshitij-narkhede/Binary_Brain;0;0;ccfff4a053ed923923a3c9346a444a3546c8dbaf;['domain.yml'];1;0;22;['Academic', 'Aggression', 'Exam_stress', 'Loneliness', 'Procastination', 'chitchat', 'face_recognition', 'object_detection', 'peer_pressure', 'relationship', 'repeat', 'sleep', 'stress_agree', 'stress_disagree', 'stress_effects', 'stress_meaning', 'stress_relaxation_method', 'stress_symptoms', 'tell_details', 'tell_joke', 'underdog', 'users_problem'];1;['name'];3;['action_repeat', 'utter_chitchat', 'action_face_recognition'];0;[];0;0;[];0;[];2.0;sfsd;['en'];['en'];['en'];True;True;True;2022-09-25T08:24:56Z;kshitij-narkhede;User;2023-08-16T14:02:57Z;['actions/actions.py']
JulianGerhard21/bert_spacy_rasa;JulianGerhard21/bert_spacy_rasa;https://github.com/JulianGerhard21/bert_spacy_rasa;66;17;0ee3739680c5015df65d963f85b3e4e9deded8a4;['test_bot/domain.yml'];1;0;9;['Etat', 'Inland', 'International', 'Kultur', 'Panorama', 'Sport', 'Web', 'Wirtschaft', 'Wissenschaft'];0;[];9;['utter_Etat', 'utter_Inland', 'utter_International', 'utter_Kultur', 'utter_Panorama', 'utter_Sport', 'utter_Web', 'utter_Wirtschaft', 'utter_Wissenschaft'];0;[];0;0;[];0;[];;sfsd;['de'];;;False;False;False;2019-09-01T14:49:45Z;JulianGerhard21;User;2020-07-06T06:34:40Z;['test_bot/actions.py']
Gowthaam57/MS;Gowthaam57/MS;https://github.com/Gowthaam57/MS;0;3;ecccdd914cee3f037ff644926696062d5c599731;['domain.yml'];1;0;25;['Idea', 'affirm', 'age', 'bot_challenge', 'comp', 'deny', 'embroidery', 'experience', 'farming', 'garmentkind', 'goodbye', 'greet', 'inform', 'investment', 'land', 'location', 'machine', 'mood_great', 'mood_unhappy', 'name', 'raw', 'restart', 'stop', 'tailoring', 'no idea'];10;['name', 'age', 'experience', 'machine', 'garmentkind', 'investment', 'comp', 'location', 'raw', 'land'];8;['action_restart', 'utter_ask_continue', 'utter_goodbye', 'utter_greet', 'validate_simple_details_form', 'validate_simple_embroidery_form', 'validate_simple_farming_form', 'validate_simple_tailoring_form'];10;['name', 'age', 'experience', 'machine', 'garmentkind', 'investment', 'comp', 'location', 'raw', 'land'];10;0;['text', 'float', 'text', 'text', 'text', 'float', 'text', 'text', 'text', 'text'];4;['simple_details_form', 'simple_tailoring_form', 'simple_embroidery_form', 'simple_farming_form'];3.0;sfsd;['en'];['en'];['en'];True;True;True;2022-06-10T04:55:55Z;Gowthaam57;User;2022-06-13T18:13:09Z;['actions/actions.py']
Brijeshlakkad/smart-banking-chatbot;Brijeshlakkad/smart-banking-chatbot;https://github.com/Brijeshlakkad/smart-banking-chatbot;5;1;39407a62953c43dc0ae4ba9b4bfd5310396ee882;['train/bank_domain.yml'];1;0;45;['None', 'affirm', 'deny', 'General_Greetings', 'General_Ending', 'Banking_Email', 'Banking_Password', 'Banking_Passcode', 'Banking_Activate_Card', 'Banking_Cancel_Card', 'Banking_Fee_Inquiry', 'Banking_Replace_Card', 'General_Human_or_Bot', 'General_Negative_Feedback', 'General_Positive_Feedback', 'General_Security_Assurance', 'Banking_Card_Number', 'Banking_Get_Card_Number', 'Banking_Change_Address', 'Banking_Get_Address', 'Banking_Get_Account_Number', 'Banking_Get_Secure_Info', 'Banking_Get_Email', 'Banking_Get_Username', 'Banking_Get_Acc_Status', 'Banking_Get_Contact', 'Banking_Change_Credential_Info', 'Banking_Change_Username', 'Banking_Change_Passcode', 'Banking_Change_Password', 'Banking_Change_Contact', 'Banking_Report_Missing_Card', 'Banking_View_Activity', 'Banking_Transfer_Money', 'Bot_Control_Change_Subject', 'Bot_Control_Confirm_Presence', 'Bot_Control_Standby', 'Bot_Control_Start_Over', 'Banking_Get_Card_Status', 'Banking_Get_Card_Details', 'Banking_Get_Account_Details', 'Banking_Get_Account_Balance', 'Banking_Get_Card_Request_Status', 'Banking_Card_Request', 'Bot_Desc'];16;['using_what', 'name', 'passcode', 'email', 'password', 'card_no', 'card_type', 'active_new_card', 'active_cancelled_card', 'necessary_item', 'user_wants', 'help_asking_time', 'question_yes_no', 'num_trans', 'bank_name', 'ab'];49;['action_get_access', 'action_activate_card', 'action_cancel_card', 'utter_first_access', 'utter_positive_reply', 'action_fee_inquiry', 'action_card_replace', 'action_fallback', 'action_greeting', 'action_ending', 'action_human_or_bot', 'action_negative_feedback', 'action_positive_feedback', 'action_security_assurance', 'action_get_permission', 'action_get_card_number', 'action_get_address', 'action_change_address', 'action_get_account_number', 'action_get_secure_info', 'action_get_email', 'action_get_username', 'action_get_acc_status', 'action_get_contact', 'action_change_credential_info', 'action_send_otp', 'action_get_otp_permission', 'action_change_username', 'action_change_passcode', 'action_change_password', 'action_change_contact', 'action_report_missing_card', 'action_view_activity', 'action_ask_input_transfer_money', 'action_send_otp_for_transaction', 'action_transfer_money', 'action_bot_control_change_subject', 'action_bot_control_confirm_presence', 'action_bot_control_standby', 'action_bot_control_start_over', 'action_get_card_status', 'action_get_card_details', 'action_get_account_details', 'action_get_account_balance', 'action_get_card_request_status', 'action_card_request', 'action_check_account_and_card', 'utter_just_reply', 'action_get_bot_desc'];29;['requested_slot', 'access', 'service_access', 'email', 'password', 'passcode', 'name', 'card_replace_with', 'card_permission', 'card_perm', 'question_yes_no', 'using_what', 'card_status', 'address1', 'address2', 'new_username', 'last_otp', 'got_otp', 'username', 'new_passcode', 'new_password', 'contact', 'num_trans', 'transfer_perm', 'where', 'amount', 'card_type', 'bank_name', 'ab'];0;0;['unfeaturized', 'categorical', 'categorical', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'categorical', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text'];0;[];1.5;sfsd;['en'];['en'];['en'];True;True;True;2018-07-14T11:14:55Z;Brijeshlakkad;User;2018-12-17T06:54:12Z;['train/actions.py']
usersk7/DAC-C-CAT-Assistant__BOT-29072019/CDAC-BOT;usersk7/DAC-C-CAT-Assistant;https://github.com/usersk7/DAC-C-CAT-Assistant;1;2;507ea32ec8e752ee706a82437d2b88f81fe1789b;['BOT-29072019/CDAC-BOT/domain.yml'];0;0;21;['None', 'course_payment', 'course_payment_status', 'course_payment_withdraw', 'course_payment_mode', 'course_payment_yes', 'affirm', 'ccat_info', 'dac_info', 'deny', 'goodbye', 'greet', 'mood_great', 'mood_unhappy', 'course_PGDAC', 'course_PGDitiss', 'course_PGDGI', 'course_PGVLSI', 'course_PGDIoT', 'course_PGDBDA', 'course_PGDMC'];0;[];20;['utter_ccat_info', 'utter_cheer_up', 'utter_course_payment', 'utter_course_payment_status', 'utter_course_payment_mode', 'utter_course_payment_withdraw', 'utter_course_payment_yes', 'utter_dac', 'utter_did_that_help', 'utter_goodbye', 'utter_greet', 'utter_happy', 'utter_pgdac', 'utter_PGDAC', 'utter_PGDitiss', 'utter_PGDGI', 'utter_PGVLSI', 'utter_PGDIoT', 'utter_PGDBDA', 'utter_PGDMC'];0;[];0;0;[];0;[];1.5;mfsd;['en'];['en'];['en'];True;True;True;2019-07-15T14:17:48Z;usersk7;User;2019-08-11T15:06:18Z;[]
Deadrohan19/Song_recommendation_chat_bot-RASA;Deadrohan19/Song_recommendation_chat_bot-RASA;https://github.com/Deadrohan19/Song_recommendation_chat_bot-RASA;0;0;c18a1995265676fedb7396a45b56a087e9f26fbc;['domain.yml'];0;0;87;['Song_recommendation_happy', 'Song_recommendation_sad', 'bot_challenge', 'smalltalk_agent_acquaintance', 'smalltalk_agent_age', 'smalltalk_agent_annoying', 'smalltalk_agent_answer_my_question', 'smalltalk_agent_bad', 'smalltalk_agent_be_clever', 'smalltalk_agent_beautiful', 'smalltalk_agent_birth_date', 'smalltalk_agent_boring', 'smalltalk_agent_boss', 'smalltalk_agent_busy', 'smalltalk_agent_chatbot', 'smalltalk_agent_clever', 'smalltalk_agent_crazy', 'smalltalk_agent_fired', 'smalltalk_agent_funny', 'smalltalk_agent_good', 'smalltalk_agent_happy', 'smalltalk_agent_hungry', 'smalltalk_agent_marry_user', 'smalltalk_agent_my_friend', 'smalltalk_agent_occupation', 'smalltalk_agent_origin', 'smalltalk_agent_ready', 'smalltalk_agent_real', 'smalltalk_agent_residence', 'smalltalk_agent_right', 'smalltalk_confirmation_yes', 'smalltalk_agent_sure', 'smalltalk_agent_talk_to_me', 'smalltalk_agent_there', 'smalltalk_appraisal_bad', 'smalltalk_appraisal_good', 'smalltalk_appraisal_no_problem', 'smalltalk_appraisal_thank_you', 'smalltalk_appraisal_welcome', 'smalltalk_appraisal_well_done', 'smalltalk_confirmation_cancel', 'smalltalk_confirmation_no', 'smalltalk_dialog_hold_on', 'smalltalk_dialog_hug', 'smalltalk_dialog_i_do_not_care', 'smalltalk_dialog_sorry', 'smalltalk_dialog_what_do_you_mean', 'smalltalk_dialog_wrong', 'smalltalk_emotions_ha_ha', 'smalltalk_emotions_wow', 'smalltalk_greetings_bye', 'smalltalk_greetings_goodevening', 'smalltalk_greetings_goodmorning', 'smalltalk_greetings_goodnight', 'smalltalk_greetings_hello', 'smalltalk_greetings_how_are_you', 'smalltalk_greetings_nice_to_meet_you', 'smalltalk_greetings_nice_to_see_you', 'smalltalk_greetings_nice_to_talk_to_you', 'smalltalk_greetings_whatsup', 'smalltalk_user_angry', 'smalltalk_user_back', 'smalltalk_user_bored', 'smalltalk_user_busy', 'smalltalk_user_can_not_sleep', 'smalltalk_user_does_not_want_to_talk', 'smalltalk_user_excited', 'smalltalk_user_going_to_bed', 'smalltalk_user_good', 'smalltalk_user_happy', 'smalltalk_user_has_birthday', 'smalltalk_user_here', 'smalltalk_user_joking', 'smalltalk_user_likes_agent', 'smalltalk_user_lonely', 'smalltalk_user_looks_like', 'smalltalk_user_loves_agent', 'smalltalk_user_misses_agent', 'smalltalk_user_needs_advice', 'smalltalk_user_sad', 'smalltalk_user_sleepy', 'smalltalk_user_testing_agent', 'smalltalk_user_tired', 'smalltalk_user_waits', 'smalltalk_user_wants_to_see_agent_again', 'smalltalk_user_wants_to_talk', 'smalltalk_user_will_be_back'];0;[];87;['utter_Song_recommendation_happy', 'utter_Song_recommendation_sad', 'utter_smalltalk_agent_acquaintance', 'utter_smalltalk_agent_age', 'utter_smalltalk_agent_annoying', 'utter_smalltalk_agent_answer_my_question', 'utter_smalltalk_agent_bad', 'utter_smalltalk_agent_be_clever', 'utter_smalltalk_agent_beautiful', 'utter_smalltalk_agent_birth_date', 'utter_smalltalk_agent_boring', 'utter_smalltalk_agent_boss', 'utter_smalltalk_agent_busy', 'utter_smalltalk_agent_chatbot', 'utter_smalltalk_agent_clever', 'utter_smalltalk_agent_crazy', 'utter_smalltalk_agent_fired', 'utter_smalltalk_agent_funny', 'utter_smalltalk_agent_good', 'utter_smalltalk_agent_happy', 'utter_smalltalk_agent_hungry', 'utter_smalltalk_agent_marry_user', 'utter_smalltalk_agent_my_friend', 'utter_smalltalk_agent_occupation', 'utter_smalltalk_agent_origin', 'utter_smalltalk_agent_ready', 'utter_smalltalk_agent_real', 'utter_smalltalk_agent_residence', 'utter_smalltalk_agent_right', 'utter_smalltalk_confirmation_yes', 'utter_smalltalk_agent_sure', 'utter_smalltalk_agent_talk_to_me', 'utter_smalltalk_agent_there', 'utter_smalltalk_appraisal_bad', 'utter_smalltalk_appraisal_good', 'utter_smalltalk_appraisal_no_problem', 'utter_smalltalk_appraisal_thank_you', 'utter_smalltalk_appraisal_welcome', 'utter_smalltalk_appraisal_well_done', 'utter_smalltalk_confirmation_cancel', 'utter_smalltalk_confirmation_no', 'utter_smalltalk_dialog_hold_on', 'utter_smalltalk_dialog_hug', 'utter_smalltalk_dialog_i_do_not_care', 'utter_smalltalk_dialog_sorry', 'utter_smalltalk_dialog_what_do_you_mean', 'utter_smalltalk_dialog_wrong', 'utter_smalltalk_emotions_ha_ha', 'utter_smalltalk_emotions_wow', 'utter_smalltalk_greetings_bye', 'utter_smalltalk_greetings_goodevening', 'utter_smalltalk_greetings_goodmorning', 'utter_smalltalk_greetings_goodnight', 'utter_smalltalk_greetings_hello', 'utter_smalltalk_greetings_how_are_you', 'utter_smalltalk_greetings_nice_to_meet_you', 'utter_smalltalk_greetings_nice_to_see_you', 'utter_smalltalk_greetings_nice_to_talk_to_you', 'utter_smalltalk_greetings_whatsup', 'utter_smalltalk_user_angry', 'utter_smalltalk_user_back', 'utter_smalltalk_user_bored', 'utter_smalltalk_user_busy', 'utter_smalltalk_user_can_not_sleep', 'utter_smalltalk_user_does_not_want_to_talk', 'utter_smalltalk_user_excited', 'utter_smalltalk_user_going_to_bed', 'utter_smalltalk_user_good', 'utter_smalltalk_user_happy', 'utter_smalltalk_user_has_birthday', 'utter_smalltalk_user_here', 'utter_smalltalk_user_joking', 'utter_smalltalk_user_likes_agent', 'utter_smalltalk_user_lonely', 'utter_smalltalk_user_looks_like', 'utter_smalltalk_user_loves_agent', 'utter_smalltalk_user_misses_agent', 'utter_smalltalk_user_needs_advice', 'utter_smalltalk_user_sad', 'utter_smalltalk_user_sleepy', 'utter_smalltalk_user_testing_agent', 'utter_smalltalk_user_tired', 'utter_smalltalk_user_waits', 'utter_smalltalk_user_wants_to_see_agent_again', 'utter_smalltalk_user_wants_to_talk', 'utter_smalltalk_user_will_be_back', 'utter_please_rephrase'];0;[];0;0;[];0;[];3.1;sfsd;['en'];['en'];['en'];True;True;True;2024-03-03T11:50:40Z;Deadrohan19;User;2024-03-03T12:11:11Z;[]
sjproost/alfa-bot__bot-wm;sjproost/alfa-bot;https://github.com/sjproost/alfa-bot;0;1;d12684fa275a456f8f1e22b4422881f0c903e0b1;['bot-wm/domain.yml'];0;0;32;['abort', 'affirm', 'bot_challenge', 'chitchat', 'deny', 'freekick', 'freekick_wall', 'ghostGame', 'goodbye', 'greet', 'group_ranking', 'inform', 'inquire_time', 'lot_number', 'match_score', 'emergency_foul', 'field_underground', 'field_size', 'field_zones', 'nlu_fallback', 'offside1', 'out_of_scope', 'qat', 'qualify', 'rate', 'rule', 'start_survey', 'time_phase', 'tournament_mode', 'wm', 'wm_finals_group', 'wm_finals_team'];18;['group', 'lot_number', 'helpful', 'smartphone', 'need_help', 'read_answers', 'understand_answers', 'learn_with_bot', 'learn_why', 'learn_not', 'critic_pos', 'critic_neg', 'phase', 'place', 'rating', 'finals_team', 'team', 'team2'];62;['action_ask_google', 'action_clear_slots', 'action_submit_survey', 'action_tell_group', 'action_tell_phase', 'action_tell_ranking', 'action_tell_score', 'action_tell_teams', 'action_tell_time', 'action_test_action', 'utter_ask_ranking_group', 'utter_ask_team2', 'utter_ask_learn_with_bot', 'utter_ask_learn_why', 'utter_ask_learn_not', 'utter_ask_smartphone', 'utter_ask_need_help', 'utter_ask_read_answers', 'utter_ask_understand_answers', 'utter_ask_critic_pos', 'utter_ask_critic_neg', 'utter_chitchat', 'utter_exception', 'utter_freekick', 'utter_freekick_wall', 'utter_ghostGame', 'utter_ghostGame_right', 'utter_ghostGame_wrong', 'utter_goodbye', 'utter_greet', 'utter_greet_buttons', 'utter_i_know', 'utter_iamabot', 'utter_offside1', 'utter_offside2', 'utter_offside3', 'utter_offside_dau', 'utter_offside_right', 'utter_offside_wrong', 'utter_qat', 'utter_qualified_teams', 'utter_qualify', 'utter_rule', 'utter_field_underground', 'utter_field_size', 'utter_field_zones', 'utter_submit_survey', 'utter_tournament_mode', 'utter_tournament_mode_group_phase', 'utter_tournament_mode_ko', 'utter_tournament_mode_ko_rounds', 'utter_tournament_no', 'utter_emergency_foul', 'utter_emergency_foul_followup', 'utter_emergency_followup_right', 'utter_emergency_followup_wrong', 'utter_understand', 'utter_wm', 'validate_finals_team_form', 'validate_group_form', 'validate_score_form', 'validate_simple_survey_form'];17;['location', 'group', 'finals_team', 'team', 'team2', 'phase', 'lot_number', 'helpful', 'smartphone', 'need_help', 'read_answers', 'understand_answers', 'critic_pos', 'critic_neg', 'learn_with_bot', 'learn_why', 'learn_not'];6;11;['text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text'];5;['group_form', 'finals_team_form', 'simple_survey_form', 'score_form', 'group_ranking_form'];3.1;mfsd;['de'];['de'];['de'];False;False;False;2022-09-27T12:36:18Z;sjproost;User;2023-03-13T10:19:32Z;[]
dinushiTJ/SEETM-experiment-setup__bot_with_maps;dinushiTJ/SEETM-experiment-setup;https://github.com/dinushiTJ/SEETM-experiment-setup;0;0;6375df5edec579c26a171963ba698d3ee6385d2a;['bot_with_maps/domain.yml'];0;0;18;['academic_deanslist_what', 'academic_gpa_grade', 'academic_scholarships', 'academic_viva_what', 'degrees_degrees_offered', 'degrees_foundation_course', 'degrees_entry_requirements', 'degrees_gpa_requirements', 'degrees_class_requirements', 'degrees_orientation', 'degrees_duration', 'degrees_registration', 'degrees_intakes', 'degrees_transfer_programmes', 'degrees_modules', 'degrees_semester_payment', 'degrees_semester_payment_penalty', 'degrees_semester_timetables'];0;[];0;[];0;[];0;0;[];0;[];2.0;mfsd;['en'];['si'];;True;False;False;2022-10-23T10:36:05Z;dinushiTJ;User;2022-10-23T10:55:45Z;[]
ajay-cz/chatbot-engine__examples/rasa_demo/config/models/de;ajay-cz/chatbot-engine;https://github.com/ajay-cz/chatbot-engine;0;0;df58f3e7e899151feedb847e56d9fc699e66f60c;['examples/rasa_demo/config/models/de/domain.yml'];0;0;25;['acknowledge', 'affirm', 'ask_age', 'ask_are_you_bot', 'ask_cost', 'ask_events', 'ask_languages', 'ask_faq', 'ask_how_contribute', 'ask_restaurant', 'ask_tech', 'ask_time', 'ask_weather', 'ask_what_can_you_do', 'ask_whoami', 'bot_welcome', 'bye', 'deny', 'enter_email', 'greet', 'insult', 'opinion+negative', 'opinion+positive', 'out_of_scope', 'subscribe'];1;['email'];28;['action_cheer_up', 'action_contribute', 'action_default_fallback', 'action_about_me', 'action_subscribe', 'utter_about_me', 'utter_advice', 'utter_ask_email', 'utter_bye', 'utter_contribute', 'utter_cost', 'utter_events', 'utter_greet', 'utter_happy', 'utter_languages', 'utter_my_age', 'utter_negative_feedback_reaction', 'utter_positive_feedback_reaction', 'utter_restaurant', 'utter_subscribe', 'utter_tech', 'utter_time', 'utter_weather', 'utter_welcome', 'utter_who_you_are', 'utter_confirmation_email', 'utter_already_subscribed', 'utter_no_email'];0;[];0;0;[];0;[];1.5;mfsd;['de'];['de'];['de'];False;False;False;2020-06-19T11:53:40Z;ajay-cz;User;2020-03-30T06:31:53Z;[]
ajay-cz/chatbot-engine__examples/rasa_demo/config/models/en;ajay-cz/chatbot-engine;https://github.com/ajay-cz/chatbot-engine;0;0;df58f3e7e899151feedb847e56d9fc699e66f60c;['examples/rasa_demo/config/models/en/domain.yml'];0;0;25;['acknowledge', 'affirm', 'ask_age', 'ask_are_you_bot', 'ask_cost', 'ask_events', 'ask_languages', 'ask_faq', 'ask_how_contribute', 'ask_restaurant', 'ask_tech', 'ask_time', 'ask_weather', 'ask_what_can_you_do', 'ask_whoami', 'bot_welcome', 'bye', 'deny', 'enter_email', 'greet', 'insult', 'opinion+negative', 'opinion+positive', 'out_of_scope', 'subscribe'];1;['email'];28;['action_cheer_up', 'action_contribute', 'action_default_fallback', 'action_about_me', 'action_subscribe', 'utter_about_me', 'utter_advice', 'utter_ask_email', 'utter_bye', 'utter_contribute', 'utter_cost', 'utter_events', 'utter_greet', 'utter_happy', 'utter_languages', 'utter_my_age', 'utter_negative_feedback_reaction', 'utter_positive_feedback_reaction', 'utter_restaurant', 'utter_subscribe', 'utter_tech', 'utter_time', 'utter_weather', 'utter_welcome', 'utter_who_you_are', 'utter_confirmation_email', 'utter_already_subscribed', 'utter_no_email'];0;[];0;0;[];0;[];1.5;mfsd;['en'];['en'];['en'];True;True;True;2020-06-19T11:53:40Z;ajay-cz;User;2020-03-30T06:31:53Z;[]
