id;full-name;html-url;stars;forks;last-commit;domain-files;n-actions-files;n-readme-files;n-intents;intents;n-entities;entities;n-actions;actions;n-actions-custom;actions-custom;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version;type;config-languages;training-language;response-languages
theopenconversationkit/tock;theopenconversationkit/tock;https://github.com/theopenconversationkit/tock;522;136;ad893e19e14b007da728378e8cf0fbf25a195322;['nlp/model/rasa/src/test/resources/domain.yml'];0;28;3;['app___intentWithoutEntities', 'app___intentWithOneEntity', 'app___intentWithTwoEntities'];3.0;['app___e1', 'app___e2', 'app___e3'];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];;sfsd;['en', 'fr'];[];[]
zkkzkk32312/IOTHouse_RASA;zkkzkk32312/IOTHouse_RASA;https://github.com/zkkzkk32312/IOTHouse_RASA;0;0;39e4b4a6d83ab58e2572fd693f2c50c8215fe7df;['domain.yml'];1;0;1;['general'];1.0;['device_id'];1;['action_default'];1;['action_default'];0.0;[];0.0;0.0;[];0.0;[];3.1;sfsd;['en'];[];[]
dinhhuong2002/RasaChatbotOfficial;dinhhuong2002/RasaChatbotOfficial;https://github.com/dinhhuong2002/RasaChatbotOfficial;0;0;fba1c5c0ab29c14fc222cfd8c04f0fccc6dd5c31;['FirstProject/domain.yml'];1;0;14;['hello', 'goodbye', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'sign_in', 'sign_up', 'sign_up_student', 'sign_up_parents', 'sign_up_teacher', 'sign_up_school', 'sign_up_Education_Department', 'add_GO'];0.0;[];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];3.0;sfsd;['en'];[];[]
abdulsamodazeez/AI-driven-To-Do--List-chatbot;abdulsamodazeez/AI-driven-To-Do--List-chatbot;https://github.com/abdulsamodazeez/AI-driven-To-Do--List-chatbot;0;0;90cdb5ea9acd38ffa91cba09910cd38465270a65;['AI driven solution using Rasa/domain.yml'];1;1;5;['create_list', 'add_item', 'remove_item', 'show_list', 'mark_done'];2.0;['user_list', 'task'];5;['action_create_list', 'action_add_item', 'action_remove_item', 'action_show_list', 'action_mark_done'];5;['action_create_list', 'action_add_item', 'action_remove_item', 'action_show_list', 'action_mark_done'];1.0;['user_list'];0.0;0.0;['list'];0.0;[];3.1;sfsd;['en'];[];[]
rslgp/rasa;rslgp/rasa;https://github.com/rslgp/rasa;1;0;c8fa43c6ad1f518a5fea6d05d78212cd66550a2c;['ConsumoApi/domain.yml'];1;1;1;['random_user'];0.0;[];1;['RandomUserAction'];1;['RandomUserAction'];0.0;[];0.0;0.0;[];0.0;[];;sfsd;[];[];[]
MarioCSilva/NLU_RASA_ChatBot_Flights;MarioCSilva/NLU_RASA_ChatBot_Flights;https://github.com/MarioCSilva/NLU_RASA_ChatBot_Flights;0;0;a0715025d98fb6ff18fb352dd92ea1a7f380b48f;['Chatbot/domain.yml'];0;4;18;['search_flights', 'give_search_from', 'give_search_to', 'search_flight_all_story', 'book_flight', 'show_my_bookings', 'basics.yes', 'basics.no', 'chitchat.thank_you', 'chitchat.i_am_excited', 'chitchat.i_need_help', 'chitchat.bye', 'chitchat.greet', 'chitchat.how_are_you', 'chitchat.i_am_angry', 'chitchat.i_am_good', 'chitchat.i_am_happy', 'chitchat.i_am_sad'];4.0;['search_to_story', 'search_from_story', 'budget_story', 'feedback_story'];17;['utter_no_problem', 'utter_bye', 'utter_greet', 'utter_how_you_doing', 'utter_im_great', 'utter_negative', 'utter_positive', 'utter_ask_search_from', 'utter_ask_budget', 'utter_ask_search_to', 'utter_ack_search_from_and_to', 'utter_search_flight_all', 'utter_display_menu', 'utter_check_booking', 'utter_ask_for_feedback', 'utter_thank_you', 'utter_send_feedback_question'];0;[];6.0;['search_to_story', 'budget_story', 'search_from_story', 'budget', 'search_to', 'search_from'];3.0;3.0;['text', 'text', 'text', 'text', 'text', 'text'];1.0;['form_search_flights'];3.0;sfsd;['en'];[];[]
vsraptor/rasa_bot_language;vsraptor/rasa_bot_language;https://github.com/vsraptor/rasa_bot_language;0;0;8119c47dc43915030f7272b0c1433c9d054a9310;['prj/exercise-domain.yml'];0;1;1;['start'];4.0;['answer', 'expected_result', 'example', 'try_again_exercise'];0;[];0;[];4.0;['example', 'answer', 'expected_result', 'try_again_exercise'];0.0;0.0;['unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized'];1.0;['exercise_form'];;sfsd;[];[];[]
JulianGerhard21/bert_spacy_rasa;JulianGerhard21/bert_spacy_rasa;https://github.com/JulianGerhard21/bert_spacy_rasa;66;17;0ee3739680c5015df65d963f85b3e4e9deded8a4;['test_bot/domain.yml'];1;2;9;['Etat', 'Inland', 'International', 'Kultur', 'Panorama', 'Sport', 'Web', 'Wirtschaft', 'Wissenschaft'];0.0;[];9;['utter_Etat', 'utter_Inland', 'utter_International', 'utter_Kultur', 'utter_Panorama', 'utter_Sport', 'utter_Web', 'utter_Wirtschaft', 'utter_Wissenschaft'];0;[];0.0;[];0.0;0.0;[];0.0;[];;sfsd;['de'];[];[]
vsraptor/bot_lang;vsraptor/bot_lang;https://github.com/vsraptor/bot_lang;1;0;8f1d775e78868213793b1d205268583573cfcccc;['prj/exercise-domain.yml'];0;1;1;['start'];4.0;['answer', 'expected_result', 'example', 'try_again_exercise'];0;[];0;[];4.0;['example', 'answer', 'expected_result', 'try_again_exercise'];0.0;0.0;['unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized'];1.0;['exercise_form'];;sfsd;[];[];[]
mkaze/bert_spacy_rasa;mkaze/bert_spacy_rasa;https://github.com/mkaze/bert_spacy_rasa;1;0;af15dffcf60e1b56c3f06fff5baee20fa69c9327;['test_bot/domain.yml'];1;2;9;['Etat', 'Inland', 'International', 'Kultur', 'Panorama', 'Sport', 'Web', 'Wirtschaft', 'Wissenschaft'];0.0;[];9;['utter_Etat', 'utter_Inland', 'utter_International', 'utter_Kultur', 'utter_Panorama', 'utter_Sport', 'utter_Web', 'utter_Wirtschaft', 'utter_Wissenschaft'];0;[];0.0;[];0.0;0.0;[];0.0;[];;sfsd;['de'];[];[]
Deepam-Rai/wiki__domain/llm_loop;Deepam-Rai/wiki;https://github.com/Deepam-Rai/wiki;0;0;30fa722d77cf1c77f8fd4560334eeb12c2233f3c;['domain/llm_loop/domain_llm_loop.yml'];3;1;2;['start_llm_loop', 'general_llm_loop_intent'];0.0;[];2;['validate_llm_loop', 'action_submit_llm_loop'];2;['action_submit_llm_loop', 'validate_llm_loop'];1.0;['user_dialogue'];0.0;1.0;['text'];1.0;['llm_loop'];3.1;mfsd;[];[];[]
gundameedikiranmai/Bnew108__app/rasa/data/ask_a_question;gundameedikiranmai/Bnew108;https://github.com/gundameedikiranmai/Bnew108;0;0;9ab74194a2c98ebffdee4719bdd9b7e2dccba8c5;['app/rasa/data/ask_a_question/domain.yml'];1;1;2;['ask_a_question', 'input_user_question'];1.0;['user_question'];4;['validate_ask_a_question_form', 'ask_a_question_form_submit', 'action_ask_user_question', 'utter_start_ask_a_question'];3;['validate_ask_a_question_form', 'ask_a_question_form_submit', 'action_ask_user_question'];2.0;['user_question', 'faq_suggestion_context'];1.0;0.0;['text', 'text'];1.0;['ask_a_question_form'];3.1;mfsd;[];[];[]
