id;full-name;html-url;stars;forks;last-commit;domain-file;n-nlu-files;n-actions-files;n-language-files;n-readme-files;n-intents;intents;n-entities;entities;n-actions;actions;n-actions-custom;actions-custom;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version
RasaHQ/rasa-calm-demo__domain/nlu-based;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;79f664fa442abeb4ce8621f4151c2aab3631f902;domain/nlu-based/restaurant.yml;1;0;0;1;5;['stop', 'request_restaurant', 'inform', 'list_restaurants', 'goodbye'];5;['cuisine', 'number', 'time', 'location', 'restaurant_name'];4;['action_list_restaurants', 'validate_restaurant_form', 'action_ask_restaurant_form_cuisine', 'action_ask_restaurant_form_restaurant_name'];0;[];5;['city', 'cuisine', 'num_people', 'restaurant_name', 'restaurant_time'];5;0;['text', 'categorical', 'any', 'text', 'text'];1;['restaurant_form'];3.1
RasaHQ/rasa-calm-demo__domain/nlu-based;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;79f664fa442abeb4ce8621f4151c2aab3631f902;domain/nlu-based/hotel_search.yml;1;0;0;1;1;['hotel_search'];0;[];1;['action_search_hotel'];0;[];2;['hotel_name', 'hotel_average_rating'];0;0;['text', 'float'];0;[];3.1
RasaHQ/rasa-calm-demo__domain/nlu-based;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;79f664fa442abeb4ce8621f4151c2aab3631f902;domain/nlu-based/health_advice.yml;1;0;0;1;1;['health_advice'];0;[];0;[];0;[];0;[];0;0;[];0;[];3.1
RasaHQ/rasa-calm-demo__domain/flows;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;79f664fa442abeb4ce8621f4151c2aab3631f902;domain/flows/verify_account.yml;1;0;0;1;1;['verify_account'];0;[];0;[];0;[];5;['verify_account_email', 'based_in_california', 'based_in_the_us', 'verify_account_sufficient_california_income', 'verify_account_confirmation'];0;0;['text', 'bool', 'bool', 'bool', 'bool'];0;[];3.1
RasaHQ/rasa-calm-demo__domain/flows;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;79f664fa442abeb4ce8621f4151c2aab3631f902;domain/flows/remove_contact.yml;1;0;0;1;1;['remove_contact'];0;[];2;['remove_contact', 'action_ask_remove_contact_handle'];0;[];3;['remove_contact_name', 'remove_contact_handle', 'remove_contact_confirmation'];0;0;['text', 'text', 'text'];0;[];3.1
RasaHQ/rasa-calm-demo__domain/flows;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;79f664fa442abeb4ce8621f4151c2aab3631f902;domain/flows/replace_card.yml;1;0;0;1;1;['replace_card'];0;[];0;[];0;[];3;['confirm_correct_card', 'replacement_reason', 'was_card_used_fraudulently'];0;0;['bool', 'categorical', 'bool'];0;[];3.1
RasaHQ/rasa-calm-demo__domain/flows;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;79f664fa442abeb4ce8621f4151c2aab3631f902;domain/flows/add_contact.yml;1;0;0;1;1;['add_contact'];0;[];1;['add_contact'];0;[];3;['add_contact_confirmation', 'add_contact_name', 'add_contact_handle'];0;0;['bool', 'text', 'text'];0;[];3.1
RasaHQ/rasa-calm-demo__domain/flows;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;79f664fa442abeb4ce8621f4151c2aab3631f902;domain/flows/order_pizza.yml;1;0;0;1;12;['greet', 'request_pizza', 'inform_pizza_type', 'inform_address', 'inform_num_pizza', 'correct_order', 'correct_num_pizza', 'correct_pizza_type', 'correct_address', 'correct_payment_option', 'affirm', 'deny'];2;['pizza_type', 'department'];5;['action_ask_confirmation_order', 'action_check_points', 'action_ask_correct_order', 'action_show_vacancies', 'action_correct_address'];0;[];9;['pizza', 'num_pizza', 'address', 'confirmation_order', 'membership_points', 'payment_option', 'card_details', 'correct_order', 'department'];4;1;['text', 'float', 'text', 'bool', 'float', 'categorical', 'text', 'bool', 'text'];0;[];3.1
RasaHQ/rasa-calm-demo__domain/flows;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;79f664fa442abeb4ce8621f4151c2aab3631f902;domain/flows/add_card.yml;1;0;0;1;1;['add_card'];0;[];0;[];0;[];0;[];0;0;[];0;[];3.1
Samupietila/AI-Chatbot__Chatbot/Backups;Samupietila/AI-Chatbot;https://github.com/Samupietila/AI-Chatbot;2;1;0da01117b3cc0923d804e5189f4bd8a758542798;Chatbot/Backups/domain_all.yml;0;0;0;1;71;['greet', 'goodbye', 'affirm', 'deny', 'ask_rules', 'button_test', 'ask_poker_rules', 'ask_blackjack_rules', 'ask_roulette_odds', 'select_option', 'mood_great', 'mood_unhappy', 'service_technical', 'service_bonuses', 'service_bonus', 'bonus_claim', 'bonus_wagering_requirements', 'bonus_status', 'service_deposit_withdrawal', 'service_game_rules', 'service_security_fairplay', 'service_responsible_gaming', 'service_technical_game_froze', 'service_technical_status_error', 'service_technical_deposit_error', 'service_technical_game_froze_refresh', 'service_technical_game_froze_clean_cache', 'service_technical_game_froze_update_browser', 'service_technical_status_server_error', 'service_technical_status_connection_issue', 'service_technical_status_connection_timed_out', 'service_technical_account_status', 'service_technical_banks_supported', 'service_technical_availability_info', 'ask_for_real_person', 'approval_yes', 'approval_no', 'service_deposit_methods', 'deposit_credit_card', 'deposit_bank_transfer', 'deposit_e_wallet', 'service_withdrawal_time', 'withdrawal_credit_card', 'withdrawal_bank_transfer', 'withdrawal_e_wallet', 'service_fees', 'security_casino', 'security_fairness', 'security_personal_data', 'service_account_registration', 'service_account_creation', 'service_account_password', 'service_account_information', 'service_account_reset_email', 'service_account_reset_phone', 'roulette_basic_rules', 'roulette_best_strategies', 'roulette_odds_specific_bets', 'roulette_game_rules_overview', 'blackjack_basic_rules', 'blackjack_card_counting', 'blackjack_advanced_strategies', 'blackjack_odds_specific_bets', 'blackjack_game_rules_overview', 'poker_basic_rules', 'poker_advanced_strategies', 'poker_odds_specific_bets', 'poker_game_rules_overview', 'responsible_gaming_setting_limits', 'responsible_gaming_self_exclude', 'responsible_gaming_gambling_addiction'];1;['option'];2;['action_before_listen', 'action_set_language'];0;[];2;['language', 'option'];1;0;['text', 'text'];0;[];3.1
Samupietila/AI-Chatbot__Chatbot/Backups;Samupietila/AI-Chatbot;https://github.com/Samupietila/AI-Chatbot;2;1;0da01117b3cc0923d804e5189f4bd8a758542798;Chatbot/Backups/domain_backup.yml;0;0;0;1;71;['greet', 'goodbye', 'affirm', 'deny', 'ask_rules', 'button_test', 'ask_poker_rules', 'ask_blackjack_rules', 'ask_roulette_odds', 'select_option', 'mood_great', 'mood_unhappy', 'service_technical', 'service_bonuses', 'service_bonus', 'bonus_claim', 'bonus_wagering_requirements', 'bonus_status', 'service_deposit_withdrawal', 'service_game_rules', 'service_security_fairplay', 'service_responsible_gaming', 'service_technical_game_froze', 'service_technical_status_error', 'service_technical_deposit_error', 'service_technical_game_froze_refresh', 'service_technical_game_froze_clean_cache', 'service_technical_game_froze_update_browser', 'service_technical_status_server_error', 'service_technical_status_connection_issue', 'service_technical_status_connection_timed_out', 'service_technical_account_status', 'service_technical_banks_supported', 'service_technical_availability_info', 'ask_for_real_person', 'approval_yes', 'approval_no', 'service_deposit_methods', 'deposit_credit_card', 'deposit_bank_transfer', 'deposit_e_wallet', 'service_withdrawal_time', 'withdrawal_credit_card', 'withdrawal_bank_transfer', 'withdrawal_e_wallet', 'service_fees', 'security_casino', 'security_fairness', 'security_personal_data', 'service_account_registration', 'service_account_creation', 'service_account_password', 'service_account_information', 'service_account_reset_email', 'service_account_reset_phone', 'roulette_basic_rules', 'roulette_best_strategies', 'roulette_odds_specific_bets', 'roulette_game_rules_overview', 'blackjack_basic_rules', 'blackjack_card_counting', 'blackjack_advanced_strategies', 'blackjack_odds_specific_bets', 'blackjack_game_rules_overview', 'poker_basic_rules', 'poker_advanced_strategies', 'poker_odds_specific_bets', 'poker_game_rules_overview', 'responsible_gaming_setting_limits', 'responsible_gaming_self_exclude', 'responsible_gaming_gambling_addiction'];1;['option'];0;[];0;[];2;['option', 'action_before_listen'];2;0;['text', 'text'];0;[];3.1
ashwani90/rasa-setup__chat-templates/insurance;ashwani90/rasa-setup;https://github.com/ashwani90/rasa-setup;0;0;b9c46309060af6a11c5795c795b2642b24fbe6fa;chat-templates/insurance/original_domain.yml;2;1;0;1;18;['ask_for_help', 'greet', 'goodbye', 'affirm', 'deny', 'bot_challenge', 'new_id_card', 'claim_status', 'get_a_quote', 'inform', 'update_member_info', 'file_a_claim', 'out_of_scope', 'nlu_fallback', 'uncertain', 'make_payment', 'cancel_action', 'stop'];9;['claim_id', 'quote_insurance_type', 'scroll_status', 'amount-of-money', 'number', 'payment_type', 'state', 'ordinal', 'phone-number'];27;['validate_quote_form', 'action_get_quote', 'action_stop_quote', 'action_claim_status', 'validate_claim_status_form', 'action_ask_recent_claim', 'validate_get_claim_form', 'action_ask_verify_address', 'action_ask_recent_claims', 'validate_verify_address_form', 'action_verify_address_form', 'action_reset_address', 'action_get_address', 'action_new_id_card', 'action_update_address', 'validate_change_address_form', 'action_ask_scroll_claims', 'validate_scroll_claims_form', 'action_scroll_claims_form_exit', 'action_pay_claim', 'action_cancel_payment', 'action_stop_new_claim_form', 'validate_pay_claim_form', 'action_file_new_claim_form', 'validate_file_new_claim_form', 'action_recent_claims', 'action_check_claim_balance'];26;['validate_quote_form', 'action_get_quote', 'action_stop_quote', 'action_claim_status', 'validate_claim_status_form', 'action_ask_recent_claim', 'validate_get_claim_form', 'action_ask_verify_address', 'action_ask_recent_claims', 'validate_verify_address_form', 'action_verify_address_form', 'action_reset_address', 'action_get_address', 'action_new_id_card', 'action_update_address', 'validate_change_address_form', 'action_ask_scroll_claims', 'validate_scroll_claims_form', 'action_scroll_claims_form_exit', 'action_pay_claim', 'action_cancel_payment', 'action_stop_new_claim_form', 'validate_pay_claim_form', 'action_file_new_claim_form', 'validate_file_new_claim_form', 'action_check_claim_balance'];26;['address_city', 'address_state', 'address_street', 'address_zip', 'amount-of-money', 'claim_amount_submit', 'claim_balance', 'claim_id', 'claim_pay_amount', 'claims', 'confirm_file_new_claim', 'confirm_payment', 'full_address', 'has_outstanding_balance', 'number', 'page', 'AA_quote_insurance_type', 'quote_number_persons', 'quote_state', 'recent_claims', 'requested_slot', 'scroll_active_claim', 'scroll_claims', 'scroll_status', 'state', 'verify_address'];0;0;['rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.BooleanSlot', 'rasa.shared.core.slots.BooleanSlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.BooleanSlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.CategoricalSlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.BooleanSlot'];6;['quote_form', 'get_claim_form', 'change_address_form', 'pay_claim_form', 'scroll_claims_form', 'file_new_claim_form'];2.0
