id;full-name;html-url;stars;forks;last-commit;domain-file;n-nlu-files;n-actions-files;n-language-files;n-readme-files;n-intents;intents;n-entities;entities;n-actions;actions;n-actions-custom;actions-custom;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version
digiteinfotech/kairon__template/use-cases/GPT-FAQ;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;template/use-cases/GPT-FAQ/domain.yml;1;0;1;1;3;['greet', 'bye', 'nlu_fallback'];2;['bot', 'kairon_action_response'];1;['gpt_llm_faq'];0;[];2;['kairon_action_response', 'bot'];0;0;['any', 'any'];0;[];3.1
digiteinfotech/kairon__template/use-cases/Hi-Hello;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;template/use-cases/Hi-Hello/domain.yml;1;0;1;1;7;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge'];0;[];0;[];0;[];0;[];0;0;[];0;[];3.1
digiteinfotech/kairon__template/use-cases/Covid-19;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;template/use-cases/Covid-19/domain.yml;1;0;1;1;18;['greet', 'goodbye', 'out_of_scope', 'smalltalk_human', 'faq_distancing', 'faq_symptoms', 'faq_vaccine', 'faq_vulnerable', 'faq_testing', 'faq_supplies', 'faq_whatisit', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'inform', 'thanks', 'get_name'];6;['location', 'facility_type', 'emailid', 'mobilenumber', 'username', 'name'];23;['utter_greet', 'utter_cheer_up', 'utter_did_that_help', 'utter_happy', 'utter_thanks', 'utter_goodbye', 'utter_how_can_i_help', 'utter_ask_location', 'utter_address', 'utter_ask_username', 'utter_submit', 'utter_out_of_scope', 'utter_smalltalk_human', 'utter_faq_distancing', 'utter_faq_symptoms', 'utter_faq_vaccine', 'utter_faq_vulnerable', 'utter_faq_testing', 'utter_faq_supplies', 'utter_faq_whatisit', 'utter_ask_email', 'utter_ask_mobilenumber', 'action_set_username'];0;[];6;['address', 'facility_type', 'location', 'username', 'emailid', 'mobilenumber'];0;0;['text', 'text', 'text', 'text', 'text', 'text'];0;[];3.1
digiteinfotech/kairon__template/use-cases/Hi-Hello-GPT;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;template/use-cases/Hi-Hello-GPT/domain.yml;1;0;1;1;3;['greet', 'goodbye', 'nlu_fallback'];7;['bot', 'kairon_action_response', 'image', 'audio', 'video', 'document', 'doc_url'];2;['kairon_faq_action', 'google_search_action'];0;[];8;['doc_url', 'document', 'video', 'audio', 'image', 'kairon_action_response', 'google_search_result', 'bot'];0;0;['rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'any', 'rasa.shared.core.slots.TextSlot', 'any'];0;[];3.1
digiteinfotech/kairon__template/use-cases/CTS;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;template/use-cases/CTS/domain.yml;1;0;1;1;162;['greet', 'restart', 'back', 'out_of_scope', 'session_start', 'nlu_fallback', 'inbox_query', 'navigation_query', 'set_context', 'goodbye', 'processes_recommended_0', 'standard_activities_as_na_1', 'critical_practice_2', 'process_critical_practice_tailoring_3', 'process_selection_limitation_4', 'process_selection_mapping_multivendor_5', 'changes_to_critical_practices_after_pm_plan_baseline_6', 'change_in_process_mapping_7', 'addition_of_critical_practices_8', 'process_space_view_9', 'critical_practices_demarcation_in_process_space_10', 'view_processes_from_mainspring_11', 'method_components_against_critical_practices_in_process_space_12', 'usage_of_org_templates_mandated_or_not_13', 'process_selection_mandatory_for_release_creation_14', 'critical_practices_implementation_affirmation_15', 'impact_of_critical_practice_addition_in_release_16', 'options_to_affirm_critical_practices_implementation_17', 'metrics_plan_18', 'metrics_plan_19', 'metrics_plan_20', 'metrics_plan_21', 'metrics_plan_22', 'metrics_plan_23', 'metrics_plan_24', 'metrics_plan_25', 'metrics_plan_26', 'metrics_plan_27', 'metrics_plan_28', 'metrics_plan_29', 'measure_inputs_30', 'measure_inputs_31', 'measure_inputs_32', 'measure_inputs_33', 'measure_inputs_34', 'metrics_preview_35', 'measure_inputs_36', 'metrics_preview_37', 'metrics_preview_38', 'metrics_preview_39', 'metrics_preview_40', 'metrics_preview_41', 'metrics_actuals_42', 'metrics_report_43', 'metrics_report_44', 'spectrum_45', 'tools_46', 'tools_47', 'tools_48', 'tools_49', 'tools_50', 'tools_51', 'tools_52', 'tools_53', 'tools_54', 'tools_55', 'accelerator_information_56', 'accelerator_information_57', 'accelerator_information_58', 'accelerator_information_59', 'accelerator_information_60', 'accelerator_information_61', 'accelerator_recommendation_62', 'accelerator_recommendation_63', 'accelerator_subscription_64', 'accelerator_subscription_65', 'accelerator_subscription_66', 'accelerator_subscription_67', 'accelerator_subscription_68', 'accelerator_usage_69', 'accelerator_usage_70', 'accelerator_benefit_reporting_71', 'support_72', 'support_73', 'risk_capture_74', 'risk_capture_75', 'risk_capture_76', 'risk_capture_77', 'risk_capture_78', 'risk_capture_79', 'risk_capture_80', 'risk_capture_81', 'risk_capture_82', 'risk_capture_83', 'risk_capture_84', 'risk_capture_85', 'risk_capture_86', 'risk_capture_87', 'risk_capture_88', 'risk_capture_89', 'risk_capture_90', 'risk_capture_91', 'risk_capture_92', 'risk_capture_93', 'risk_capture_94', 'risk_capture_95', 'risk_discovery_96', 'risk_discovery_97', 'risk_discovery_98', 'risk_import_from_similar_projects_99', 'risk_import_from_similar_projects_100', 'risk_escalation_101', 'risk_escalation_102', 'risk_escalation_103', 'financial_impact_104', 'financial_impact_105', 'financial_impact_106', 'financial_impact_107', 'risk_re-evaluation_108', 'risk_re-evaluation_109', 'risk_migration_110', 'delivery_governance_111', 'delivery_governance_112', 'delivery_governance_113', 'delivery_governance_114', 'delivery_governance_115', 'delivery_governance_116', 'delivery_governance_117', 'delivery_governance_118', 'risk_reports_119', 'risk_reports_120', 'project_creation_0', 'project_creation_1', 'pm_plan_workflow_2', 'document_repository_3', 'access_roles__4', 'allocation_details_5', 'tracking_mode_change_6', 'risk_tracking_7', 'work_package__8', 'metric_report_9', 'metric_actuals_10', 'release_sprint_11', 'archeytpe_and_demographics_12', 'risk_tracking_13', 'pm_plan_workflow_14', 'project_creation_15', 'release_sprint_16', 'work_package__17', 'work_package__18', 'user_story_19', 'metric_actuals_20', 'project_merger_21', 'project_merger_22', 'metric_report_23', 'archeytpe_and_demographics_24', 'archeytpe_and_demographics_25', 'project_scope_26', 'risk_tracking_27', 'release_sprint_28', 'release_sprint_29', 'metricreport'];10;['bot', 'kairon_action_response', 'auth_token', 'item_id', 'menucode', 'projectid', 'userid', 'ownertype', 'ownerid', 'apigee_token'];6;['getsolrhelpdata', 'navigation_action', 'action_inbox_query', 'apigee', 'reset_slot_navig', 'kairon_two_stage_fallback'];0;[];10;['kairon_action_response', 'bot', 'auth_token', 'item_id', 'menucode', 'projectid', 'userid', 'ownertype', 'ownerid', 'apigee_token'];0;0;['any', 'any', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'any', 'any', 'any', 'any', 'any', 'rasa.shared.core.slots.TextSlot'];0;[];3.1
RasaHQ/rasa__examples/e2ebot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;d6829b6acc10fd9548798176bb0f9713107c1555;examples/e2ebot/domain.yml;1;0;1;1;4;['greet', 'affirm', 'deny', 'search_restaurant'];0;[];3;['utter_greet', 'utter_suggest_cuisine', 'utter_search_restaurants'];0;[];0;[];0;0;[];0;[];3.1
RasaHQ/rasa__examples/moodbot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;d6829b6acc10fd9548798176bb0f9713107c1555;examples/moodbot/domain.yml;1;0;1;2;7;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge'];0;[];0;[];0;[];0;[];0;0;[];0;[];3.1
RasaHQ/rasa__examples/reminderbot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;d6829b6acc10fd9548798176bb0f9713107c1555;examples/reminderbot/domain.yml;1;1;1;2;8;['greet', 'ask_remind_call', 'ask_forget_reminders', 'bye', 'ask_id', 'EXTERNAL_dry_plant', 'EXTERNAL_reminder', 'EXT_reminder'];2;['PERSON', 'plant'];5;['action_set_reminder', 'action_forget_reminders', 'action_react_to_reminder', 'action_tell_id', 'action_warn_dry'];5;['action_set_reminder', 'action_forget_reminders', 'action_react_to_reminder', 'action_tell_id', 'action_warn_dry'];1;['PERSON'];1;0;['text'];0;[];3.1
RasaHQ/rasa__examples/formbot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;d6829b6acc10fd9548798176bb0f9713107c1555;examples/formbot/domain.yml;1;1;1;2;9;['request_restaurant', 'chitchat', 'inform', 'affirm', 'deny', 'stop', 'thankyou', 'greet', 'bot_challenge'];4;['cuisine', 'number', 'feedback', 'seating'];1;['validate_restaurant_form'];1;['validate_restaurant_form'];5;['cuisine', 'num_people', 'outdoor_seating', 'preferences', 'feedback'];4;2;['text', 'float', 'text', 'text', 'text'];1;['restaurant_form'];3.1
RasaHQ/rasa__examples/knowledgebasebot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;d6829b6acc10fd9548798176bb0f9713107c1555;examples/knowledgebasebot/domain.yml;1;1;1;2;4;['greet', 'goodbye', 'query_knowledge_base', 'bot_challenge'];7;['object_type', 'mention', 'attribute', 'hotel', 'restaurant', 'cuisine', 'city'];1;['action_query_knowledge_base'];1;['action_query_knowledge_base'];7;['object_type', 'mention', 'attribute', 'hotel', 'restaurant', 'city', 'cuisine'];7;0;['text', 'text', 'text', 'text', 'text', 'text', 'text'];0;[];3.1
