temperature;top_p;prompt;n_services;services;services_list
0;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0;0.15;zero_shot;1;ServiceNow;['ServiceNow']
0;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0;0.5;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0;0.5;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;0.5;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0;0.5;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0;1;zero_shot;1;SnowAPI;['SnowAPI']
0;1;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0;1;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;1;zero_shot;1;SnowAPI;['SnowAPI']
0;1;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;1;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;1;zero_shot;1;SnowAPI;['SnowAPI']
0;1;zero_shot;1;SnowAPI;['SnowAPI']
0;1;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0;1;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.25;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.25;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.25;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.25;0.01;zero_shot;1;ServiceNow;['ServiceNow']
0.25;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.25;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.25;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.25;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.25;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.15;zero_shot;1;ServiceNow;['ServiceNow']
0.25;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.25;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.25;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.5;zero_shot;1;ServiceNow;['ServiceNow']
0.25;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.25;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0.25;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.25;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0.25;1;zero_shot;1;ServiceNow;['ServiceNow']
0.25;1;zero_shot;1;SnowAPI;['SnowAPI']
0.25;1;zero_shot;3;SnowAPI,,###;['SnowAPI', '', '###']
0.25;1;zero_shot;1;SnowAPI;['SnowAPI']
0.25;1;zero_shot;1;ServiceNow;['ServiceNow']
0.25;1;zero_shot;1;SnowAPI;['SnowAPI']
0.25;1;zero_shot;1;ServiceNow;['ServiceNow']
0.25;1;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.25;1;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.25;1;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.01;zero_shot;1;ServiceNow;['ServiceNow']
0.5;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.5;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.5;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.01;zero_shot;1;ServiceNow;['ServiceNow']
0.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.5;zero_shot;1;ServiceNow;['ServiceNow']
