id;full-name;html-url;stars;forks;last-commit;domain-file;n-nlu-files;n-actions-files;n-language-files;n-readme-files;n-intents;intents;n-entities;entities;n-actions;actions;n-actions-custom;actions-custom;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version;status
UdiitBansal/Leave-Enquiry;UdiitBansal/Leave-Enquiry;https://github.com/UdiitBansal/Leave-Enquiry;0;0;a0099eb317e79e1cca4e35cc33da3f699a97a2b7;domain (3).yml;1;0;0;1;4;['greet', 'check_leave_balance', 'check_leave_policy', 'provide_emp_id'];2;['emp_id', 'leave_type'];2;['action_check_leave_balance', 'action_check_leave_policy'];0;[];2;['emp_id', 'leave_type'];2;0;['text', 'categorical'];0;[];3.1;solved-copies
lappis-unb/ej-bot;lappis-unb/ej-bot;https://github.com/lappis-unb/ej-bot;0;0;1d24b0e1561c03cac35ac0c98df6e5e7f6cba324;bot/domains/default.yml;1;12;1;1;7;['welcome', 'stop', 'comment_confirmation', 'out_of_context', 'help', 'start_with_conversation_id', 'add_new_comment'];1;['conversation_id'];6;['action_ask_vote', 'validate_vote_form', 'action_get_conversation', 'action_customized_fallback', 'action_ask_check_authentication', 'validate_authentication_form'];5;['action_ask_check_authentication', 'validate_authentication_form', 'action_get_conversation', 'action_ask_vote', 'validate_vote_form'];19;['contact_name', 'ej_client_connection_error', 'anonymous_votes_limit', 'auth_link', 'participant_can_add_comments', 'has_completed_registration', 'comment_content', 'refresh_token', 'restart_conversation', 'access_token', 'conversation_id', 'conversation_text', 'current_comment_id', 'number_comments', 'user_voted_comments', 'check_authentication', 'vote', 'comment_confirmation', 'comment'];1;4;['text', 'bool', 'text', 'text', 'bool', 'bool', 'text', 'text', 'bool', 'text', 'text', 'text', 'rasa.shared.core.slots.FloatSlot', 'rasa.shared.core.slots.FloatSlot', 'rasa.shared.core.slots.FloatSlot', 'categorical', 'text', 'categorical', 'text'];2;['authentication_form', 'vote_form'];3.1;discarded
lappis-unb/ej-bot;lappis-unb/ej-bot;https://github.com/lappis-unb/ej-bot;0;0;1d24b0e1561c03cac35ac0c98df6e5e7f6cba324;bot/domains/bp.yml;1;12;1;1;6;['welcome', 'stop', 'comment_confirmation', 'out_of_context', 'help', 'add_new_comment'];0;[];12;['action_reset_help_slots', 'action_ask_vote', 'validate_vote_form', 'validate_comment_form', 'action_ask_comment', 'action_ask_profile_question', 'validate_profile_form', 'action_get_conversation', 'action_customized_fallback', 'action_ask_check_authentication', 'validate_authentication_form', 'validate_help_form'];11;['action_ask_profile_question', 'validate_profile_form', 'action_reset_help_slots', 'validate_help_form', 'action_ask_check_authentication', 'validate_authentication_form', 'action_get_conversation', 'validate_comment_form', 'action_ask_comment', 'action_ask_vote', 'validate_vote_form'];29;['contact_name', 'ej_client_connection_error', 'anonymous_votes_limit', 'auth_link', 'participant_can_add_comments', 'has_completed_registration', 'comment_content', 'refresh_token', 'restart_conversation', 'access_token', 'participant_voted_in_all_comments', 'conversation_id', 'conversation_text', 'current_comment_id', 'number_comments', 'user_voted_comments', 'check_authentication', 'vote', 'ask_to_authenticate', 'ask_for_a_comment', 'comment_confirmation', 'comment', 'help_topic', 'next_count_to_send_profile_question', 'need_to_ask_profile_question', 'profile_question', 'profile_question_id', 'send_profile_questions', 'votes_to_send_profile_questions'];0;6;['text', 'bool', 'text', 'text', 'bool', 'bool', 'text', 'text', 'bool', 'text', 'bool', 'text', 'text', 'rasa.shared.core.slots.FloatSlot', 'rasa.shared.core.slots.FloatSlot', 'rasa.shared.core.slots.FloatSlot', 'categorical', 'text', 'bool', 'bool', 'categorical', 'text', 'categorical', 'text', 'bool', 'text', 'text', 'bool', 'text'];5;['help_form', 'authentication_form', 'comment_form', 'vote_form', 'profile_form'];3.1;discarded
lappis-unb/participatory-bot;lappis-unb/participatory-bot;https://github.com/lappis-unb/participatory-bot;0;0;893452279b91c239267a0071e96c099a7bcd857a;bot/domain.yml;4;1;1;1;19;['cumprimentar', 'relacionamento', 'me_ajuda', 'despedir', 'out_of_scope', 'tudo_bem', 'explica', 'oquee_bp', 'participar', 'usuario_permitido', 'acesso_govbr', 'participacao', 'consulta_publica', 'conferencia', 'audiencia', 'colegiado', 'digital', 'atendente', 'ppa'];25;['menu', 'meajuda', 'religiao', 'time', 'genero', 'piada', 'licenca', 'musica', 'comida', 'cor', 'signo', 'triste', 'historia', 'vive', 'nome', 'idade', 'relationship', 'intent', 'entity', 'slot', 'response_selectors', 'storie', 'acao', 'forms', 'slot_example'];2;['action_exemplo', 'action_default_fallback'];2;['action_exemplo', 'action_default_fallback'];4;['nome', 'idade', 'requested_slot', 'slot_example'];3;0;['text', 'text', 'any', 'text'];1;['exemplo_forms'];3.1;discarded
lappis-unb/participatory-bot;lappis-unb/participatory-bot;https://github.com/lappis-unb/participatory-bot;0;0;893452279b91c239267a0071e96c099a7bcd857a;bot/old-domain.yml;4;1;1;1;27;['cumprimentar', 'relacionamento', 'me_ajuda', 'despedir', 'out_of_scope', 'tudo_bem', 'elogios', 'religiao', 'time', 'genero', 'piada', 'licenca', 'onde_voce_mora', 'musica', 'comida', 'cor', 'signo', 'triste', 'historia', 'afirmar', 'negar', 'cancelar', 'informar', 'menu', 'exemplo_acao', 'exemplo_forms', 'explica'];25;['menu', 'meajuda', 'religiao', 'time', 'genero', 'piada', 'licenca', 'musica', 'comida', 'cor', 'signo', 'triste', 'historia', 'vive', 'nome', 'idade', 'relationship', 'intent', 'entity', 'slot', 'response_selectors', 'storie', 'acao', 'forms', 'slot_example'];2;['action_exemplo', 'action_default_fallback'];2;['action_exemplo', 'action_default_fallback'];4;['nome', 'idade', 'requested_slot', 'slot_example'];3;0;['text', 'text', 'any', 'text'];1;['exemplo_forms'];3.1;discarded
nikevelik/chatbot-NLP-RAG;nikevelik/chatbot-NLP-RAG;https://github.com/nikevelik/chatbot-NLP-RAG;0;0;18cc6e8770b52be132320ff98e9c2f10d5a46155;['nl/data/domain/domain_base.yml', 'nl/data/domain/domain_make_bot.yml'];3;6;1;1;5;['affirm', 'deny', 'greet', 'INT_wants_new_bot', 'INT_abort'];2;['user_id', 'env'];8;['give_echo', 'answer_with_llm', 'action_ask_SL_xconn_name', 'action_ask_SL_xinstrument_name', 'action_ask_SL_start_bot_flag', 'action_ask_SL_abort_make_bot_flag', 'action_clean_make_bot_slots', 'validate_FRM_make_new_bot'];8;['give_echo', 'answer_with_llm', 'action_ask_SL_xconn_name', 'action_ask_SL_xinstrument_name', 'action_ask_SL_start_bot_flag', 'action_ask_SL_abort_make_bot_flag', 'action_clean_make_bot_slots', 'validate_FRM_make_new_bot'];7;['user_id', 'env', 'SL_bot_name', 'SL_xconn_name', 'SL_xinstrument_name', 'SL_start_bot_flag', 'SL_abort_make_bot_flag'];2;5;['text', 'text', 'text', 'text', 'text', 'bool', 'text'];1;['FRM_make_new_bot'];3.1;solved-union
Deepam-Rai/social_media_chatbot;Deepam-Rai/social_media_chatbot;https://github.com/Deepam-Rai/social_media_chatbot;0;0;6bcba6f338fb1b9b701d1cdbe2ba05681da0b4bf;['domain/domain.yml', 'domain/domain_main_misc.yml'];2;3;1;1;12;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'ask_joke', 'tell_joke', 'test', 'start', 'invalid_format'];0;[];2;['action_tell_joke', 'action_test'];2;['action_tell_joke', 'action_test'];0;[];0;0;[];0;[];3.1;solved-union
GerritChatbot/rasa_base;GerritChatbot/rasa_base;https://github.com/GerritChatbot/rasa_base;4;1;b91e1ac4ef52ddd456f435defe447bc4c312b457;['domain/intents.yml', 'domain/healtcare.yml', 'domain/get_buddy.yml', 'domain/sim_card.yml', 'domain/ryanair.yml', 'domain/get_event.yml', 'domain/car_rental.yml', 'domain/social_media.yml', 'domain/buy_esn_card.yml', 'domain/accommodation.yml', 'domain/esn.yml', 'domain/eis.yml', 'domain/office_hours.yml', 'domain/esn_card_benefits.yml', 'domain/food_recommendation.yml'];1;1;1;1;22;['intent_bot_challenge', 'help', 'intent_goodbye', 'intent_gratitude', 'start', 'out_of_scope', 'intent_thankyou', 'intent_pay_by_cash', 'intent_health_issues', 'intent_get_buddy', 'intent_sim_card', 'intent_ryanair_discount', 'intent_get_event', 'intent_car_rental', 'intent_social_media', 'intent_buy_esn_card', 'intent_accommodation', 'intent_esn', 'intent_eis', 'intent_office_hours', 'intent_esn_card_benefits', 'intent_canteen'];0;[];1;['action_get_office_hours'];1;['action_get_office_hours'];0;[];0;0;[];0;[];3.1;solved-union
MarcoCarraro-1/BetBot;MarcoCarraro-1/BetBot;https://github.com/MarcoCarraro-1/BetBot;0;0;3993bafc393f6b870948bc21ec60306b68d6e433;domain.yml;2;1;1;1;32;['affirm', 'bot_challenge', 'check_ticket', 'crediting_method', 'current_balance', 'deny', 'display_events', 'display_odds', 'goodbye', 'greet', 'info_account', 'insert_bet_amount', 'insert_display_events', 'insert_reload_amount', 'insert_ticket_id', 'insert_username_login', 'insert_username_registration', 'login', 'logout', 'monthly_report', 'multiple_play', 'new_play', 'out_of_scope', 'payment_method', 'periodic_report', 'registration', 'reload_account', 'select_event', 'select_outcome', 'show_username', 'single_play', 'weekly_report'];9;['outcome', 'event', 'bet_amount', 'username', 'reload_amount', 'ticket_id', 'sport', 'date', 'bets'];21;['utter_ask_outcome', 'action_bet', 'action_set_play', 'utter_ask_bet_amount', 'utter_ask_event', 'utter_ask_choice', 'utter_confirm_single', 'utter_continue_betting', 'utter_goodbye', 'action_auth_user', 'action_logout_user', 'action_refresh_balance', 'action_check_amount', 'action_fetch_events', 'action_set_single_play', 'action_fetch_odds', 'action_check_ticket', 'action_activate_reload_context', 'action_deactivate_reload_context', 'action_set_bet_in_progress', 'action_remove_bet_in_progress'];13;['action_bet', 'action_set_play', 'action_auth_user', 'action_logout_user', 'action_refresh_balance', 'action_check_amount', 'action_fetch_events', 'action_fetch_odds', 'action_check_ticket', 'action_activate_reload_context', 'action_deactivate_reload_context', 'action_set_bet_in_progress', 'action_remove_bet_in_progress'];18;['username', 'authenticated', 'balance', 'weekly_report', 'monthly_report', 'payment_method', 'crediting_method', 'reload_amount', 'valid_amount', 'ticket_id', 'event', 'sport', 'date', 'outcome', 'bets', 'bet_amount', 'reload_context', 'bet_in_progress'];11;0;['text', 'bool', 'float', 'float', 'float', 'text', 'text', 'any', 'bool', 'any', 'text', 'text', 'any', 'text', 'list', 'any', 'bool', 'bool'];0;[];3.1;discarded
MarcoCarraro-1/BetBot;MarcoCarraro-1/BetBot;https://github.com/MarcoCarraro-1/BetBot;0;0;3993bafc393f6b870948bc21ec60306b68d6e433;domain-1.yml;2;1;1;1;32;['affirm', 'bot_challenge', 'check_ticket', 'crediting_method', 'current_balance', 'deny', 'display_events', 'display_odds', 'goodbye', 'greet', 'info_account', 'insert_bet_amount', 'insert_display_events', 'insert_reload_amount', 'insert_ticket_id', 'insert_username_login', 'insert_username_registration', 'login', 'logout', 'monthly_report', 'multiple_play', 'new_play', 'out_of_scope', 'payment_method', 'periodic_report', 'registration', 'reload_account', 'select_event', 'select_outcome', 'show_username', 'single_play', 'weekly_report'];9;['event', 'sport', 'username', 'outcome', 'bet_amount', 'reload_amount', 'ticket_id', 'date', 'bets'];27;['action_set_bet_in_progress', 'utter_ask_sport', 'utter_list_sports', 'action_set_play', 'utter_continue_betting', 'utter_ask_new_help', 'action_auth_user', 'utter_ask_outcome', 'action_bet', 'action_remove_bet_in_progress', 'utter_not_logged', 'utter_ask_login', 'utter_ask_event', 'action_fetch_odds', 'action_fetch_events', 'utter_ask_bet_amount', 'utter_goodbye', 'utter_ask_exist_account', 'utter_ask_choice', 'utter_confirm_single', 'action_logout_user', 'action_refresh_balance', 'action_check_amount', 'action_set_single_play', 'action_check_ticket', 'action_activate_reload_context', 'action_deactivate_reload_context'];13;['action_set_bet_in_progress', 'action_set_play', 'action_auth_user', 'action_bet', 'action_remove_bet_in_progress', 'action_fetch_odds', 'action_fetch_events', 'action_logout_user', 'action_refresh_balance', 'action_check_amount', 'action_check_ticket', 'action_activate_reload_context', 'action_deactivate_reload_context'];18;['username', 'authenticated', 'balance', 'weekly_report', 'monthly_report', 'payment_method', 'crediting_method', 'reload_amount', 'valid_amount', 'ticket_id', 'event', 'sport', 'date', 'outcome', 'bets', 'bet_amount', 'reload_context', 'bet_in_progress'];11;0;['text', 'bool', 'float', 'float', 'float', 'text', 'text', 'any', 'bool', 'any', 'text', 'text', 'any', 'text', 'list', 'any', 'bool', 'bool'];0;[];3.1;discarded
